GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,NAME_E,AL5ME001,AL5ME002,AL5ME003,AMEME001,NAME_M,AL5MM001,AL5MM002,AL5MM003,AMEMM001
"G0800110","2015-2019","CO",,,"Colorado","08","Bent County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08011",,"Bent County, Colorado",5787,5519,268,0.4527,"Bent County, Colorado",0,87,87,0.0380
"G0800130","2015-2019","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08013",,"Boulder County, Colorado",322510,288116,34394,0.4848,"Boulder County, Colorado",0,1333,1333,0.0088
"G0800140","2015-2019","CO",,,"Colorado","08","Broomfield County","014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08014",,"Broomfield County, Colorado",67886,61831,6055,0.4343,"Broomfield County, Colorado",0,533,533,0.0151
"G0800150","2015-2019","CO",,,"Colorado","08","Chaffee County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08015",,"Chaffee County, Colorado",19557,18818,739,0.4231,"Chaffee County, Colorado",0,204,204,0.0193
"G0800170","2015-2019","CO",,,"Colorado","08","Cheyenne County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08017",,"Cheyenne County, Colorado",2026,1843,183,0.4367,"Cheyenne County, Colorado",186,198,99,0.0390
"G0800190","2015-2019","CO",,,"Colorado","08","Clear Creek County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08019",,"Clear Creek County, Colorado",9495,9282,213,0.4205,"Clear Creek County, Colorado",0,94,94,0.0282
"G0800210","2015-2019","CO",,,"Colorado","08","Conejos County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08021",,"Conejos County, Colorado",8128,7985,143,0.4533,"Conejos County, Colorado",0,54,54,0.0402
"G0800230","2015-2019","CO",,,"Colorado","08","Costilla County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08023",,"Costilla County, Colorado",3745,3400,345,0.4988,"Costilla County, Colorado",0,98,98,0.0376
"G0800250","2015-2019","CO",,,"Colorado","08","Crowley County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08025",,"Crowley County, Colorado",5754,5556,198,0.4013,"Crowley County, Colorado",0,75,75,0.0298
"G0800270","2015-2019","CO",,,"Colorado","08","Custer County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08027",,"Custer County, Colorado",4776,4627,149,0.4154,"Custer County, Colorado",0,108,108,0.0451
"G0800290","2015-2019","CO",,,"Colorado","08","Delta County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08029",,"Delta County, Colorado",30565,29149,1416,0.4805,"Delta County, Colorado",0,254,254,0.0229
"G0800310","2015-2019","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08031",,"Denver County, Colorado",705576,599918,105658,0.4909,"Denver County, Colorado",0,2663,2663,0.0044
"G0800330","2015-2019","CO",,,"Colorado","08","Dolores County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08033",,"Dolores County, Colorado",1857,1835,22,0.4306,"Dolores County, Colorado",186,190,18,0.0563
"G0800350","2015-2019","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08035",,"Douglas County, Colorado",336041,310382,25659,0.3993,"Douglas County, Colorado",0,1021,1021,0.0080
"G0800370","2015-2019","CO",,,"Colorado","08","Eagle County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08037",,"Eagle County, Colorado",54681,45089,9592,0.4694,"Eagle County, Colorado",0,707,707,0.0267
"G0800390","2015-2019","CO",,,"Colorado","08","Elbert County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08039",,"Elbert County, Colorado",25717,25015,702,0.4013,"Elbert County, Colorado",0,195,195,0.0232
"G0800410","2015-2019","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08041",,"El Paso County, Colorado",698974,650176,48798,0.4322,"El Paso County, Colorado",0,1907,1907,0.0048
"G0800430","2015-2019","CO",,,"Colorado","08","Fremont County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08043",,"Fremont County, Colorado",47321,46058,1263,0.4364,"Fremont County, Colorado",0,254,254,0.0241
"G0800450","2015-2019","CO",,,"Colorado","08","Garfield County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08045",,"Garfield County, Colorado",59055,50343,8712,0.4031,"Garfield County, Colorado",0,544,544,0.0172
"G0800470","2015-2019","CO",,,"Colorado","08","Gilpin County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08047",,"Gilpin County, Colorado",6018,5742,276,0.4468,"Gilpin County, Colorado",0,148,148,0.0763
"G0800490","2015-2019","CO",,,"Colorado","08","Grand County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08049",,"Grand County, Colorado",15303,14472,831,0.4137,"Grand County, Colorado",0,246,246,0.0272
"G0800510","2015-2019","CO",,,"Colorado","08","Gunnison County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08051",,"Gunnison County, Colorado",16802,16165,637,0.4321,"Gunnison County, Colorado",0,152,152,0.0254
"G0800530","2015-2019","CO",,,"Colorado","08","Hinsdale County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08053",,"Hinsdale County, Colorado",857,845,12,0.4427,"Hinsdale County, Colorado",111,111,10,0.0498
"G0800550","2015-2019","CO",,,"Colorado","08","Huerfano County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08055",,"Huerfano County, Colorado",6679,6524,155,0.4341,"Huerfano County, Colorado",0,104,104,0.0314
"G0800570","2015-2019","CO",,,"Colorado","08","Jackson County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08057",,"Jackson County, Colorado",1261,1189,72,0.3906,"Jackson County, Colorado",128,125,61,0.0600
"G0800590","2015-2019","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08059",,"Jefferson County, Colorado",574798,537994,36804,0.4329,"Jefferson County, Colorado",0,1674,1674,0.0048
"G0800610","2015-2019","CO",,,"Colorado","08","Kiowa County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08061",,"Kiowa County, Colorado",1489,1480,9,0.4434,"Kiowa County, Colorado",128,129,8,0.0509
"G0800630","2015-2019","CO",,,"Colorado","08","Kit Carson County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08063",,"Kit Carson County, Colorado",7447,6890,557,0.4595,"Kit Carson County, Colorado",0,103,103,0.0883
"G0800650","2015-2019","CO",,,"Colorado","08","Lake County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08065",,"Lake County, Colorado",7751,7023,728,0.4414,"Lake County, Colorado",0,206,206,0.0452
"G0800670","2015-2019","CO",,,"Colorado","08","La Plata County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08067",,"La Plata County, Colorado",55617,54110,1507,0.4703,"La Plata County, Colorado",0,294,294,0.0258
"G0800690","2015-2019","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08069",,"Larimer County, Colorado",344786,325502,19284,0.4463,"Larimer County, Colorado",0,1189,1189,0.0080
"G0800710","2015-2019","CO",,,"Colorado","08","Las Animas County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08071",,"Las Animas County, Colorado",14266,13503,763,0.4708,"Las Animas County, Colorado",0,229,229,0.0248
"G0800730","2015-2019","CO",,,"Colorado","08","Lincoln County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08073",,"Lincoln County, Colorado",5585,5341,244,0.4737,"Lincoln County, Colorado",0,100,100,0.0397
"G0800750","2015-2019","CO",,,"Colorado","08","Logan County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08075",,"Logan County, Colorado",22380,21376,1004,0.4217,"Logan County, Colorado",0,276,276,0.0264
"G0800770","2015-2019","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08077",,"Mesa County, Colorado",151218,144966,6252,0.4419,"Mesa County, Colorado",0,807,807,0.0112
"G0800790","2015-2019","CO",,,"Colorado","08","Mineral County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08079",,"Mineral County, Colorado",824,813,11,0.3755,"Mineral County, Colorado",112,111,13,0.0409
"G0800810","2015-2019","CO",,,"Colorado","08","Moffat County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08081",,"Moffat County, Colorado",13127,12220,907,0.4418,"Moffat County, Colorado",0,194,194,0.0258
"G0800830","2015-2019","CO",,,"Colorado","08","Montezuma County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08083",,"Montezuma County, Colorado",26031,25278,753,0.4162,"Montezuma County, Colorado",0,211,211,0.0192
"G0800850","2015-2019","CO",,,"Colorado","08","Montrose County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08085",,"Montrose County, Colorado",41686,38458,3228,0.4518,"Montrose County, Colorado",0,388,388,0.0226
"G0800870","2015-2019","CO",,,"Colorado","08","Morgan County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08087",,"Morgan County, Colorado",28517,24091,4426,0.4076,"Morgan County, Colorado",0,659,659,0.0206
"G0800890","2015-2019","CO",,,"Colorado","08","Otero County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08089",,"Otero County, Colorado",18282,17365,917,0.4568,"Otero County, Colorado",0,277,277,0.0218
"G0800910","2015-2019","CO",,,"Colorado","08","Ouray County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08091",,"Ouray County, Colorado",4796,4715,81,0.4666,"Ouray County, Colorado",0,38,38,0.0410
"G0800930","2015-2019","CO",,,"Colorado","08","Park County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08093",,"Park County, Colorado",17867,17441,426,0.3978,"Park County, Colorado",0,199,199,0.0334
"G0800950","2015-2019","CO",,,"Colorado","08","Phillips County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08095",,"Phillips County, Colorado",4290,3687,603,0.3953,"Phillips County, Colorado",0,166,167,0.0356
"G0800970","2015-2019","CO",,,"Colorado","08","Pitkin County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08097",,"Pitkin County, Colorado",17926,15347,2579,0.5090,"Pitkin County, Colorado",0,621,621,0.0531
"G0800990","2015-2019","CO",,,"Colorado","08","Prowers County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08099",,"Prowers County, Colorado",12022,10788,1234,0.4428,"Prowers County, Colorado",0,221,221,0.0247
"G0801010","2015-2019","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08101",,"Pueblo County, Colorado",165982,161073,4909,0.4547,"Pueblo County, Colorado",0,562,562,0.0090
"G0801030","2015-2019","CO",,,"Colorado","08","Rio Blanco County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08103",,"Rio Blanco County, Colorado",6384,6195,189,0.4096,"Rio Blanco County, Colorado",0,99,99,0.0306
"G0801050","2015-2019","CO",,,"Colorado","08","Rio Grande County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08105",,"Rio Grande County, Colorado",11305,10837,468,0.4661,"Rio Grande County, Colorado",0,173,173,0.0246
"G0801070","2015-2019","CO",,,"Colorado","08","Routt County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08107",,"Routt County, Colorado",25072,23807,1265,0.4632,"Routt County, Colorado",0,219,219,0.0267
"G0801090","2015-2019","CO",,,"Colorado","08","Saguache County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08109",,"Saguache County, Colorado",6592,5931,661,0.4521,"Saguache County, Colorado",0,157,157,0.0295
"G0801110","2015-2019","CO",,,"Colorado","08","San Juan County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08111",,"San Juan County, Colorado",589,572,17,0.3974,"San Juan County, Colorado",102,99,19,0.0529
"G0801130","2015-2019","CO",,,"Colorado","08","San Miguel County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08113",,"San Miguel County, Colorado",8049,7197,852,0.5175,"San Miguel County, Colorado",0,163,163,0.0447
"G0801150","2015-2019","CO",,,"Colorado","08","Sedgwick County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08115",,"Sedgwick County, Colorado",2322,2254,68,0.5065,"Sedgwick County, Colorado",0,41,41,0.0512
"G0801170","2015-2019","CO",,,"Colorado","08","Summit County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08117",,"Summit County, Colorado",30649,27152,3497,0.4050,"Summit County, Colorado",0,681,681,0.0285
"G0801190","2015-2019","CO",,,"Colorado","08","Teller County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08119",,"Teller County, Colorado",24524,23722,802,0.4099,"Teller County, Colorado",0,203,203,0.0254
"G0801210","2015-2019","CO",,,"Colorado","08","Washington County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08121",,"Washington County, Colorado",4868,4734,134,0.4305,"Washington County, Colorado",0,53,53,0.0245
"G0801230","2015-2019","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08123",,"Weld County, Colorado",305345,278683,26662,0.4157,"Weld County, Colorado",0,1445,1445,0.0078
"G0801250","2015-2019","CO",,,"Colorado","08","Yuma County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08125",,"Yuma County, Colorado",10003,8797,1206,0.4235,"Yuma County, Colorado",0,276,276,0.0309
"G0900010","2015-2019","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09001",,"Fairfield County, Connecticut",943926,736087,207839,0.5422,"Fairfield County, Connecticut",0,3137,3137,0.0038
"G0900030","2015-2019","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09003",,"Hartford County, Connecticut",893561,755909,137652,0.4716,"Hartford County, Connecticut",0,3082,3082,0.0037
"G0900050","2015-2019","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09005",,"Litchfield County, Connecticut",182002,167519,14483,0.4566,"Litchfield County, Connecticut",0,843,843,0.0084
"G0900070","2015-2019","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09007",,"Middlesex County, Connecticut",163053,150335,12718,0.4462,"Middlesex County, Connecticut",0,821,821,0.0091
"G0900090","2015-2019","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09009",,"New Haven County, Connecticut",857513,748574,108939,0.4691,"New Haven County, Connecticut",0,3268,3268,0.0047
"G0900110","2015-2019","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09011",,"New London County, Connecticut",267390,244225,23165,0.4425,"New London County, Connecticut",0,973,973,0.0065
"G0900130","2015-2019","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09013",,"Tolland County, Connecticut",151063,140580,10483,0.4383,"Tolland County, Connecticut",0,643,643,0.0126
"G0900150","2015-2019","CT",,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09015",,"Windham County, Connecticut",116566,110894,5672,0.4217,"Windham County, Connecticut",0,659,659,0.0105
"G1000010","2015-2019","DE",,,"Delaware","10","Kent County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US10001",,"Kent County, Delaware",176699,165949,10750,0.4279,"Kent County, Delaware",0,928,928,0.0105
"G1000030","2015-2019","DE",,,"Delaware","10","New Castle County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US10003",,"New Castle County, Delaware",556165,492069,64096,0.4584,"New Castle County, Delaware",0,2188,2188,0.0061
"G1000050","2015-2019","DE",,,"Delaware","10","Sussex County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US10005",,"Sussex County, Delaware",224384,207757,16627,0.4505,"Sussex County, Delaware",0,966,966,0.0087
"G1100010","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US11001",,"District of Columbia, District of Columbia",692683,597618,95065,0.5269,"District of Columbia, District of Columbia",0,3020,3020,0.0050
"G1200010","2015-2019","FL",,,"Florida","12","Alachua County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12001",,"Alachua County, Florida",265443,237477,27966,0.5111,"Alachua County, Florida",0,1489,1489,0.0083
"G1200030","2015-2019","FL",,,"Florida","12","Baker County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12003",,"Baker County, Florida",28211,27694,517,0.4220,"Baker County, Florida",0,212,212,0.0275
"G1200050","2015-2019","FL",,,"Florida","12","Bay County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12005",,"Bay County, Florida",182161,170876,11285,0.4427,"Bay County, Florida",0,1025,1025,0.0105
"G1200070","2015-2019","FL",,,"Florida","12","Bradford County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12007",,"Bradford County, Florida",27317,26522,795,0.4487,"Bradford County, Florida",0,247,247,0.0320
"G1200090","2015-2019","FL",,,"Florida","12","Brevard County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12009",,"Brevard County, Florida",585507,535716,49791,0.4505,"Brevard County, Florida",0,2252,2252,0.0060
"G1200110","2015-2019","FL",,,"Florida","12","Broward County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12011",,"Broward County, Florida",1926205,1269368,656837,0.4884,"Broward County, Florida",0,6897,6897,0.0041
"G1200130","2015-2019","FL",,,"Florida","12","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12013",,"Calhoun County, Florida",14362,13986,376,0.4571,"Calhoun County, Florida",0,162,162,0.0500
"G1200150","2015-2019","FL",,,"Florida","12","Charlotte County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12015",,"Charlotte County, Florida",181067,161295,19772,0.4602,"Charlotte County, Florida",0,1103,1103,0.0137
"G1200170","2015-2019","FL",,,"Florida","12","Citrus County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12017",,"Citrus County, Florida",145169,137321,7848,0.4517,"Citrus County, Florida",0,599,599,0.0151
"G1200190","2015-2019","FL",,,"Florida","12","Clay County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12019",,"Clay County, Florida",211405,196848,14557,0.4171,"Clay County, Florida",0,1369,1369,0.0124
"G1200210","2015-2019","FL",,,"Florida","12","Collier County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12021",,"Collier County, Florida",371453,277132,94321,0.5257,"Collier County, Florida",0,2351,2351,0.0084
"G1200230","2015-2019","FL",,,"Florida","12","Columbia County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12023",,"Columbia County, Florida",69968,67256,2712,0.4589,"Columbia County, Florida",0,363,363,0.0182
"G1200270","2015-2019","FL",,,"Florida","12","DeSoto County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12027",,"DeSoto County, Florida",36903,31258,5645,0.4404,"DeSoto County, Florida",0,559,559,0.0243
"G1200290","2015-2019","FL",,,"Florida","12","Dixie County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12029",,"Dixie County, Florida",16589,16128,461,0.4751,"Dixie County, Florida",0,143,143,0.0356
"G1200310","2015-2019","FL",,,"Florida","12","Duval County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12031",,"Duval County, Florida",936186,832697,103489,0.4704,"Duval County, Florida",0,3386,3386,0.0055
"G1200330","2015-2019","FL",,,"Florida","12","Escambia County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12033",,"Escambia County, Florida",313491,297533,15958,0.4448,"Escambia County, Florida",0,1073,1073,0.0078
"G1200350","2015-2019","FL",,,"Florida","12","Flagler County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12035",,"Flagler County, Florida",109801,96405,13396,0.4359,"Flagler County, Florida",0,1120,1120,0.0150
"G1200370","2015-2019","FL",,,"Florida","12","Franklin County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12037",,"Franklin County, Florida",11811,11462,349,0.5056,"Franklin County, Florida",0,104,104,0.0402
"G1200390","2015-2019","FL",,,"Florida","12","Gadsden County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12039",,"Gadsden County, Florida",45945,43700,2245,0.4448,"Gadsden County, Florida",0,268,268,0.0193
"G1200410","2015-2019","FL",,,"Florida","12","Gilchrist County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12041",,"Gilchrist County, Florida",17953,17284,669,0.4266,"Gilchrist County, Florida",0,121,121,0.0244
"G1200430","2015-2019","FL",,,"Florida","12","Glades County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12043",,"Glades County, Florida",13516,11951,1565,0.4343,"Glades County, Florida",0,282,282,0.0233
"G1200450","2015-2019","FL",,,"Florida","12","Gulf County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12045",,"Gulf County, Florida",15576,15051,525,0.4158,"Gulf County, Florida",0,152,152,0.0241
"G1200470","2015-2019","FL",,,"Florida","12","Hamilton County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12047",,"Hamilton County, Florida",14326,13720,606,0.4683,"Hamilton County, Florida",0,136,136,0.0291
"G1200490","2015-2019","FL",,,"Florida","12","Hardee County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12049",,"Hardee County, Florida",27131,24391,2740,0.4684,"Hardee County, Florida",0,469,469,0.0405
"G1200510","2015-2019","FL",,,"Florida","12","Hendry County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12051",,"Hendry County, Florida",40732,29471,11261,0.4681,"Hendry County, Florida",0,967,967,0.0303
"G1200530","2015-2019","FL",,,"Florida","12","Hernando County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12053",,"Hernando County, Florida",186313,173620,12693,0.4293,"Hernando County, Florida",0,800,800,0.0113
"G1200550","2015-2019","FL",,,"Florida","12","Highlands County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12055",,"Highlands County, Florida",103437,92059,11378,0.4855,"Highlands County, Florida",0,976,976,0.0260
"G1200570","2015-2019","FL",,,"Florida","12","Hillsborough County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12057",,"Hillsborough County, Florida",1422278,1172603,249675,0.4787,"Hillsborough County, Florida",0,3980,3980,0.0031
"G1200590","2015-2019","FL",,,"Florida","12","Holmes County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12059",,"Holmes County, Florida",19432,19064,368,0.4525,"Holmes County, Florida",0,155,155,0.0293
"G1200610","2015-2019","FL",,,"Florida","12","Indian River County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12061",,"Indian River County, Florida",153989,138748,15241,0.5246,"Indian River County, Florida",0,1202,1202,0.0161
"G1200630","2015-2019","FL",,,"Florida","12","Jackson County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12063",,"Jackson County, Florida",47945,46498,1447,0.4585,"Jackson County, Florida",0,262,262,0.0206
"G1200650","2015-2019","FL",,,"Florida","12","Jefferson County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12065",,"Jefferson County, Florida",14161,13601,560,0.4601,"Jefferson County, Florida",0,163,163,0.0260
"G1200670","2015-2019","FL",,,"Florida","12","Lafayette County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12067",,"Lafayette County, Florida",8637,8029,608,0.4203,"Lafayette County, Florida",0,327,327,0.0408
"G1200690","2015-2019","FL",,,"Florida","12","Lake County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12069",,"Lake County, Florida",345867,312975,32892,0.4231,"Lake County, Florida",0,2065,2065,0.0078
"G1200710","2015-2019","FL",,,"Florida","12","Lee County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12071",,"Lee County, Florida",737468,614088,123380,0.4798,"Lee County, Florida",0,3158,3158,0.0065
"G1200730","2015-2019","FL",,,"Florida","12","Leon County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12073",,"Leon County, Florida",289770,269951,19819,0.4896,"Leon County, Florida",0,1008,1008,0.0080
"G1200750","2015-2019","FL",,,"Florida","12","Levy County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12075",,"Levy County, Florida",40403,38657,1746,0.4524,"Levy County, Florida",0,345,345,0.0263
"G1200770","2015-2019","FL",,,"Florida","12","Liberty County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12077",,"Liberty County, Florida",8345,7890,455,0.4305,"Liberty County, Florida",0,133,133,0.0414
"G1200790","2015-2019","FL",,,"Florida","12","Madison County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12079",,"Madison County, Florida",18460,17673,787,0.4797,"Madison County, Florida",0,242,242,0.0430
"G1200810","2015-2019","FL",,,"Florida","12","Manatee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12081",,"Manatee County, Florida",384213,335931,48282,0.4709,"Manatee County, Florida",0,1875,1875,0.0076
"G1200830","2015-2019","FL",,,"Florida","12","Marion County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12083",,"Marion County, Florida",353526,326772,26754,0.4544,"Marion County, Florida",0,1606,1606,0.0107
"G1200850","2015-2019","FL",,,"Florida","12","Martin County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12085",,"Martin County, Florida",159065,143162,15903,0.5278,"Martin County, Florida",0,1079,1079,0.0151
"G1200860","2015-2019","FL",,,"Florida","12","Miami-Dade County","086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12086",,"Miami-Dade County, Florida",2699428,1249305,1450123,0.5231,"Miami-Dade County, Florida",0,7523,7523,0.0034
"G1200870","2015-2019","FL",,,"Florida","12","Monroe County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12087",,"Monroe County, Florida",75798,61325,14473,0.5049,"Monroe County, Florida",0,916,916,0.0164
