,location,coords,lat,lon,year,period,period_date,value
55,"Washington-Baltimore, DC-MD-VA-WV","{'lat': 39.1774042, 'lon': -76.6683922}",39.1774042,-76.6683922,2013,M09,2013-09-01,161.977
56,"Washington-Baltimore, DC-MD-VA-WV","{'lat': 39.1774042, 'lon': -76.6683922}",39.1774042,-76.6683922,2013,M07,2013-07-01,161.697
57,"Washington-Baltimore, DC-MD-VA-WV","{'lat': 39.1774042, 'lon': -76.6683922}",39.1774042,-76.6683922,2013,M05,2013-05-01,160.555
58,"Washington-Baltimore, DC-MD-VA-WV","{'lat': 39.1774042, 'lon': -76.6683922}",39.1774042,-76.6683922,2013,M03,2013-03-01,160.664
59,"Washington-Baltimore, DC-MD-VA-WV","{'lat': 39.1774042, 'lon': -76.6683922}",39.1774042,-76.6683922,2013,M01,2013-01-01,160.134
60,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2017,M12,2017-12-01,292.603
61,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2017,M11,2017-11-01,291.580
62,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2017,M10,2017-10-01,292.390
63,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2017,M09,2017-09-01,289.765
64,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2017,M08,2017-08-01,289.452
65,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2017,M07,2017-07-01,288.012
66,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2017,M06,2017-06-01,286.879
67,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2017,M05,2017-05-01,287.251
68,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2017,M04,2017-04-01,286.168
69,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2017,M03,2017-03-01,285.975
70,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2017,M02,2017-02-01,285.754
71,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2017,M01,2017-01-01,284.696
72,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2016,M12,2016-12-01,282.416
73,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2016,M11,2016-11-01,281.400
74,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2016,M10,2016-10-01,281.615
75,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2016,M09,2016-09-01,280.005
76,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2016,M08,2016-08-01,278.827
77,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2016,M07,2016-07-01,277.721
78,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2016,M06,2016-06-01,276.626
79,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2016,M05,2016-05-01,276.055
